Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Duration_Set,Target_Duration,Response,streamDur,Response,versionName,repGoal
Human,1,1,Motor,108,Visual,TE,6.75,2,6.77,6.75,6.774,Calibrated,Stream
Human,1,1,Motor,109,Visual,TE,1,1,1.51,5.75,6.733,Calibrated,Target
Human,1,1,Motor,109,Visual,TE,5.75,1,6.73,5.75,6.733,Calibrated,Stream
Human,1,1,Motor,110,Visual,TE,3,3,1.79,6.25,3.437,Calibrated,Target
Human,1,1,Motor,110,Visual,TE,6.25,3,3.44,6.25,3.437,Calibrated,Stream
Human,1,1,Motor,111,Visual,TE,3,3,2.55,7.25,4.899,Calibrated,Target
Human,1,1,Motor,111,Visual,TE,7.25,3,4.9,7.25,4.899,Calibrated,Stream
Human,1,1,Motor,112,Visual,TE,4,4,3.05,6.75,4.548,Calibrated,Target
Human,1,1,Motor,112,Visual,TE,6.75,4,4.55,6.75,4.548,Calibrated,Stream
Human,1,1,Motor,113,Visual,TE,4.5,4.5,3.78,5.75,5.306,Calibrated,Target
Human,1,1,Motor,113,Visual,TE,5.75,4.5,5.31,5.75,5.306,Calibrated,Stream
Human,1,1,Motor,114,Visual,TE,3,3,3.48,6.25,4.372,Calibrated,Target
Human,1,1,Motor,114,Visual,TE,6.25,3,4.37,6.25,4.372,Calibrated,Stream
Human,1,1,Motor,115,Visual,TE,2.5,2.5,2.57,6.25,5.131,Calibrated,Target
Human,1,1,Motor,115,Visual,TE,6.25,2.5,5.13,6.25,5.131,Calibrated,Stream
Human,1,1,Motor,116,Visual,TE,4.5,4.5,3.54,7.25,5.695,Calibrated,Target
Human,1,1,Motor,116,Visual,TE,7.25,4.5,5.7,7.25,5.695,Calibrated,Stream
Human,1,1,Motor,117,Visual,TE,1,1,1.44,5.25,2.815,Calibrated,Target
Human,1,1,Motor,117,Visual,TE,5.25,1,2.82,5.25,2.815,Calibrated,Stream
Human,1,1,Motor,118,Visual,TE,3.5,3.5,1.51,6.25,4.96,Calibrated,Target
Human,1,1,Motor,118,Visual,TE,6.25,3.5,4.96,6.25,4.96,Calibrated,Stream
Human,1,1,Motor,119,Visual,TE,3.5,3.5,3.3,6.25,5.57,Calibrated,Target
Human,1,1,Motor,119,Visual,TE,6.25,3.5,5.57,6.25,5.57,Calibrated,Stream
Human,1,1,Motor,120,Visual,TE,3,3,3.31,4.75,4.79,Calibrated,Target
Human,1,1,Motor,120,Visual,TE,4.75,3,4.79,4.75,4.79,Calibrated,Stream
Human,1,1,Motor,121,Visual,TE,2.5,2.5,3.19,5.75,5.293,Calibrated,Target
Human,1,1,Motor,121,Visual,TE,5.75,2.5,5.29,5.75,5.293,Calibrated,Stream
Human,1,1,Motor,122,Visual,TE,5.5,5.5,4.56,6.75,5.788,Calibrated,Target
Human,1,1,Motor,122,Visual,TE,6.75,5.5,5.79,6.75,5.788,Calibrated,Stream
Human,1,1,Motor,123,Visual,TE,2.5,2.5,3.9,5.25,5.431,Calibrated,Target
Human,1,1,Motor,123,Visual,TE,5.25,2.5,5.43,5.25,5.431,Calibrated,Stream
Human,1,1,Motor,124,Visual,TE,5.5,5.5,4.22,7.25,5.547,Calibrated,Target
Human,1,1,Motor,124,Visual,TE,7.25,5.5,5.55,7.25,5.547,Calibrated,Stream
Human,1,1,Motor,125,Visual,TE,3.5,3.5,4.68,7.25,6.93,Calibrated,Target
Human,1,1,Motor,125,Visual,TE,7.25,3.5,6.93,7.25,6.93,Calibrated,Stream
Human,1,1,Motor,126,Visual,TE,2.5,2.5,2.32,5.75,4.235,Calibrated,Target
Human,1,1,Motor,126,Visual,TE,5.75,2.5,4.24,5.75,4.235,Calibrated,Stream
Human,1,1,Motor,127,Visual,TE,3.5,3.5,3.48,6.25,4.854,Calibrated,Target
Human,1,1,Motor,127,Visual,TE,6.25,3.5,4.85,6.25,4.854,Calibrated,Stream
Human,1,1,Motor,128,Visual,TE,3,3,2.86,5.25,5.339,Calibrated,Target
Human,1,1,Motor,128,Visual,TE,5.25,3,5.34,5.25,5.339,Calibrated,Stream
Human,1,1,Motor,129,Visual,TE,4,4,3.73,7.25,6.005,Calibrated,Target
Human,1,1,Motor,129,Visual,TE,7.25,4,6,7.25,6.005,Calibrated,Stream
Human,1,1,Motor,130,Visual,TE,3.5,3.5,3.35,5.75,4.787,Calibrated,Target
Human,1,1,Motor,130,Visual,TE,5.75,3.5,4.79,5.75,4.787,Calibrated,Stream
Human,1,1,Motor,131,Visual,TE,5.5,5.5,5.55,7.25,6.784,Calibrated,Target
Human,1,1,Motor,131,Visual,TE,7.25,5.5,6.78,7.25,6.784,Calibrated,Stream
Human,1,1,Motor,132,Visual,TE,3,3,2.94,5.25,4.844,Calibrated,Target
Human,1,1,Motor,132,Visual,TE,5.25,3,4.84,5.25,4.844,Calibrated,Stream
Human,1,1,Motor,133,Visual,TE,2,2,2.43,4.75,4.308,Calibrated,Target
Human,1,1,Motor,133,Visual,TE,4.75,2,4.31,4.75,4.308,Calibrated,Stream
Human,1,1,Motor,134,Visual,TE,1,1,1.69,7.25,7.859,Calibrated,Target
Human,1,1,Motor,134,Visual,TE,7.25,1,7.86,7.25,7.859,Calibrated,Stream
Human,1,1,Motor,135,Visual,TE,3,3,3.05,5.25,4.894,Calibrated,Target
