Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time,Condition
Human,3,1,1,9,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.88,Auditory,0.7,1,N/A,Filled
Human,3,1,1,10,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.7,Auditory,0.865,0,N/A,Filled
Human,3,1,1,11,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.7,Auditory,0.85,1,N/A,Filled
Human,3,1,1,12,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.835,Auditory,0.7,0,N/A,Filled
Human,3,1,1,13,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.82,Auditory,0.7,1,N/A,Filled
Human,3,1,1,14,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.7,Auditory,0.805,0,N/A,Filled
Human,3,1,1,15,Auditory,TOJ,Adaptive,Duration,0.09,Auditory,0.7,Auditory,0.79,1,N/A,Filled
Human,3,1,1,16,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.835,Auditory,0.7,1,N/A,Filled
Human,3,1,1,17,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.82,Auditory,0.7,1,N/A,Filled
Human,3,1,1,18,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,0,N/A,Filled
Human,3,1,1,19,Auditory,TOJ,Adaptive,Duration,0.15,Auditory,0.7,Auditory,0.85,0,N/A,Filled
Human,3,1,1,20,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,1,N/A,Filled
Human,3,1,1,21,Auditory,TOJ,Adaptive,Duration,0.12,Auditory,0.7,Auditory,0.82,1,N/A,Filled
Human,3,1,1,22,Auditory,TOJ,Adaptive,Duration,0.105,Auditory,0.805,Auditory,0.7,0,N/A,Filled
Human,3,1,1,23,Auditory,TOJ,Adaptive,Duration,0.09,Auditory,0.79,Auditory,0.7,1,N/A,Filled
Human,3,1,1,24,Auditory,TOJ,Adaptive,Duration,0.135,Auditory,0.7,Auditory,0.835,1,N/A,Filled
Human,3,1,1,25,Auditory,TOJ,Adaptive,Duration,0.18,Auditory,0.7,Auditory,0.88,0,N/A,Filled
Human,3,1,1,26,Auditory,TOJ,Adaptive,Duration,0.165,Auditory,0.865,Auditory,0.7,0,N/A,Filled
Human,3,1,1,27,Auditory,TOJ,Adaptive,Duration,0.21,Auditory,0.7,Auditory,0.91,1,N/A,Filled
