Species,Subj_idx,Session,Block,Trial,Stim,Procedure,Method,Parameter,SOA,Stim_Type_1,Stim_Dur_1,Stim_Type_2,Stim_Dur_2,Accuracy,Reaction_Time
Human,2,2,1,24,Visual,TOJ,Adaptive,Duration,0.315,Visual,0.7,Visual,1.015,0,0.705
Human,2,2,1,25,Visual,TOJ,Adaptive,Duration,0.36,Visual,0.7,Visual,1.06,0,0.833
Human,2,2,1,26,Visual,TOJ,Adaptive,Duration,0.405,Visual,0.7,Visual,1.105,0,0.763
Human,2,2,1,27,Visual,TOJ,Adaptive,Duration,0.45,Visual,0.7,Visual,1.15,0,0.872
Human,2,2,1,28,Visual,TOJ,Adaptive,Duration,0.435,Visual,0.7,Visual,1.135,0,0.717
Human,2,2,1,29,Visual,TOJ,Adaptive,Duration,0.42,Visual,0.7,Visual,1.12,1,0.945
Human,2,2,1,30,Visual,TOJ,Adaptive,Duration,0.405,Visual,0.7,Visual,1.105,0,0.641
Human,2,2,1,31,Visual,TOJ,Adaptive,Duration,0.395,Visual,0.7,Visual,1.095,1,0.825
Human,2,2,1,32,Visual,TOJ,Adaptive,Duration,0.385,Visual,0.7,Visual,1.085,0,0.74
Human,2,2,1,33,Visual,TOJ,Adaptive,Duration,0.375,Visual,0.7,Visual,1.075,0,0.723
Human,2,2,1,34,Visual,TOJ,Adaptive,Duration,0.365,Visual,0.7,Visual,1.065,1,0.794
Human,2,2,1,35,Visual,TOJ,Adaptive,Duration,0.395,Visual,0.7,Visual,1.095,1,0.528
Human,2,2,1,36,Visual,TOJ,Adaptive,Duration,0.385,Visual,0.7,Visual,1.085,1,0.722
Human,2,2,1,37,Visual,TOJ,Adaptive,Duration,0.375,Visual,0.7,Visual,1.075,1,0.764
Human,2,2,1,38,Visual,TOJ,Adaptive,Duration,0.365,Visual,0.7,Visual,1.065,0,0.796
Human,2,2,1,39,Visual,TOJ,Adaptive,Duration,0.355,Visual,0.7,Visual,1.055,0,0.525
Human,2,2,1,40,Visual,TOJ,Adaptive,Duration,0.385,Visual,0.7,Visual,1.085,0,0.919
Human,2,2,1,41,Visual,TOJ,Adaptive,Duration,0.375,Visual,0.7,Visual,1.075,0,0.869
Human,2,2,1,42,Visual,TOJ,Adaptive,Duration,0.365,Visual,0.7,Visual,1.065,1,0.888
Human,2,2,1,43,Visual,TOJ,Adaptive,Duration,0.355,Visual,0.7,Visual,1.055,1,0.94
Human,2,2,1,44,Visual,TOJ,Adaptive,Duration,0.345,Visual,0.7,Visual,1.045,0,0.583
Human,2,2,1,45,Visual,TOJ,Adaptive,Duration,0.335,Visual,0.7,Visual,1.035,0,0.766
Human,2,2,1,46,Visual,TOJ,Adaptive,Duration,0.325,Visual,0.7,Visual,1.025,0,0.793
Human,2,2,1,47,Visual,TOJ,Adaptive,Duration,0.315,Visual,0.7,Visual,1.015,1,0.815
Human,2,2,1,48,Visual,TOJ,Adaptive,Duration,0.345,Visual,0.7,Visual,1.045,0,0.607
Human,2,2,1,49,Visual,TOJ,Adaptive,Duration,0.335,Visual,0.7,Visual,1.035,0,0.68
Human,2,2,1,50,Visual,TOJ,Adaptive,Duration,0.365,Visual,0.7,Visual,1.065,0,0.561
Human,2,2,1,1,Auditory,Training,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,0.633
Human,2,2,1,2,Auditory,Training,Adaptive,Duration,0.33,Auditory,1.03,Auditory,0.7,1,0.668
Human,2,2,1,3,Auditory,Training,Adaptive,Duration,0.32,Auditory,0.7,Auditory,1.02,1,0.568
Human,2,2,1,4,Auditory,Training,Adaptive,Duration,0.31,Auditory,0.7,Auditory,1.01,1,0.868
Human,2,2,1,5,Auditory,Training,Adaptive,Duration,0.3,Auditory,1,Auditory,0.7,1,0.856
Human,2,2,1,1,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,1,0.924
Human,2,2,1,2,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.985,Auditory,0.7,0,0.872
Human,2,2,1,3,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,0,0.827
Human,2,2,1,4,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,1,0.563
Human,2,2,1,5,Auditory,TOJ,Adaptive,Duration,0.3,Auditory,0.7,Auditory,1,0,0.55
Human,2,2,1,6,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.7,Auditory,0.985,1,0.977
Human,2,2,1,7,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,1,0.53
Human,2,2,1,8,Auditory,TOJ,Adaptive,Duration,0.255,Auditory,0.7,Auditory,0.955,1,0.793
Human,2,2,1,9,Auditory,TOJ,Adaptive,Duration,0.24,Auditory,0.7,Auditory,0.94,1,0.777
Human,2,2,1,10,Auditory,TOJ,Adaptive,Duration,0.285,Auditory,0.985,Auditory,0.7,1,0.541
Human,2,2,1,11,Auditory,TOJ,Adaptive,Duration,0.27,Auditory,0.7,Auditory,0.97,0,0.992
Human,2,2,1,12,Auditory,TOJ,Adaptive,Duration,0.315,Auditory,0.7,Auditory,1.015,0,0.636
